"date","landingPagePath","source","medium","region","uniquePageviews","bounces","timeOnPage","sessions","newUsers","pageviews","exits","sessionDuration"
2018-07-12,"/office-of-admissions","bing","organic","Maine",4,0,289,1,0,4,1,289
2018-07-12,"/office-of-admissions","google","organic","Maine",2,0,160,1,0,2,1,160
2018-07-12,"/office-of-admissions","google","organic","Massachusetts",1,1,0,1,1,1,1,0
2018-07-13,"/office-of-admissions","(direct)","(none)","Islamabad Capital Territory",1,1,0,1,1,1,1,0
2018-07-13,"/office-of-admissions","google","organic","Virginia",6,0,45,1,0,6,1,45
2018-07-15,"/office-of-admissions","google","organic","Maine",4,1,37,2,0,4,2,38
2018-07-16,"/office-of-admissions","(direct)","(none)","Pennsylvania",1,1,0,1,1,1,1,0
2018-07-18,"/office-of-admissions","(direct)","(none)","Kigali City",2,0,86,1,1,2,1,86
2018-07-18,"/office-of-admissions","google","organic","Maine",4,0,200,1,0,5,1,200
2018-07-18,"/office-of-admissions","google","organic","Massachusetts",1,1,0,1,1,1,1,0
2018-07-19,"/office-of-admissions","(direct)","(none)","Maine",18,0,1772,1,1,33,1,1769
2018-07-19,"/office-of-admissions","google","organic","Maine",11,0,1318,2,1,16,2,1318
2018-07-20,"/office-of-admissions","(direct)","(none)","Maine",3,0,632,1,0,3,1,633
2018-07-20,"/office-of-admissions","google","organic","Maine",1,1,0,1,0,1,1,0
2018-07-21,"/office-of-admissions","(direct)","(none)","Maine",1,1,0,1,1,1,1,0
2018-07-21,"/office-of-admissions","google","organic","Massachusetts",1,1,0,1,0,1,1,0
2018-07-23,"/office-of-admissions","(direct)","(none)","Indiana",2,0,2203,2,1,5,2,2203
2018-07-23,"/office-of-admissions","(direct)","(none)","New Hampshire",2,0,190,1,1,4,1,190
2018-07-23,"/office-of-admissions","google","organic","Maine",6,1,243,3,1,7,3,243
2018-07-24,"/office-of-admissions","(direct)","(none)","Illinois",1,1,0,1,0,1,1,0
2018-07-24,"/office-of-admissions","(direct)","(none)","Indiana",1,1,0,1,0,1,1,0
2018-07-24,"/office-of-admissions","google","organic","Maine",11,1,2391,3,0,20,3,2391
2018-07-24,"/office-of-admissions","google","organic","Massachusetts",2,0,61,1,0,2,1,61
2018-07-24,"/office-of-admissions","google","organic","Tennessee",2,2,0,2,0,2,2,0
2018-07-25,"/office-of-admissions","(direct)","(none)","Indiana",1,1,0,1,0,1,1,0
2018-07-25,"/office-of-admissions","bing","organic","Maine",1,1,0,1,0,1,1,0
2018-07-25,"/office-of-admissions","google","organic","Maine",1,1,0,1,1,1,1,0
2018-07-25,"/office-of-admissions","yahoo","organic","Maine",4,0,115,1,0,4,1,116
2018-07-26,"/office-of-admissions","(direct)","(none)","Indiana",1,1,0,1,0,1,1,0
2018-07-26,"/office-of-admissions","(direct)","(none)","Virginia",1,1,0,1,1,1,1,0
2018-07-26,"/office-of-admissions","google","organic","Maine",3,1,4,2,0,3,2,4
2018-07-26,"/office-of-admissions","google","organic","Massachusetts",2,0,31,1,1,2,1,31
2018-07-27,"/office-of-admissions","google","organic","Maine",6,0,78,2,1,7,2,78
2018-07-27,"/office-of-admissions","google","organic","Massachusetts",6,0,366,2,2,7,2,367
2018-07-27,"/office-of-admissions","google","organic","Ruvuma Region",4,0,120,1,0,4,1,120
2018-07-29,"/office-of-admissions","google","organic","Maine",4,1,118,2,0,4,2,118
2018-07-29,"/office-of-admissions","google","organic","New Hampshire",11,0,358,1,0,11,1,358
2018-07-30,"/office-of-admissions","bing","organic","Maine",1,1,0,1,1,1,1,0
2018-07-30,"/office-of-admissions","google","organic","Florida",5,0,979,1,0,5,1,978
2018-07-30,"/office-of-admissions","google","organic","Maine",22,1,1340,5,2,35,5,1339
2018-07-30,"/office-of-admissions","google","organic","Wisconsin",3,1,60,2,1,4,2,60
2018-07-31,"/office-of-admissions","(direct)","(none)","New York",1,1,0,1,0,1,1,0
2018-07-31,"/office-of-admissions","google","organic","Massachusetts",2,0,102,1,0,2,1,102
2018-07-31,"/office-of-admissions","google","organic","Virginia",2,0,5,1,1,2,1,5
2018-08-01,"/office-of-admissions","(direct)","(none)","Louisiana",1,1,0,1,0,1,1,0
2018-08-01,"/office-of-admissions","(direct)","(none)","New Mexico",1,1,0,1,1,1,1,0
2018-08-01,"/office-of-admissions","bing","organic","Florida",2,0,194,1,1,3,1,193
2018-08-01,"/office-of-admissions","bing","organic","Maine",2,0,9,1,1,2,1,9
2018-08-01,"/office-of-admissions","google","organic","Maine",4,2,8,3,1,4,3,8
2018-08-01,"/office-of-admissions","google","organic","Mississippi",1,1,0,1,1,1,1,0
2018-08-02,"/office-of-admissions","(direct)","(none)","Massachusetts",2,0,42,1,1,2,1,42
2018-08-02,"/office-of-admissions","(direct)","(none)","Ohio",5,0,69,1,1,6,1,68
